FID,ref_tn_cod,id_thiesse,type,area_m2,road_density_mean,school_kde_mean
14293,416157,3019,0,16904556.363144077,0.02326062958790963,0.02918095380228455
14294,215255,1597,0,7519998.046423889,0.03053543686036722,0.01431564331043571
14295,116551,3597,1,90.51518958717327,0.0,0.0
14296,165554,3474,0,5582098.873731361,0.02020314669366493,0.04105658635950259
14297,435558,742,0,21172.08346915591,0.0034502586349844933,0.023235701024532318
14298,335658,3011,1,171.8014432978302,0.0,0.0
14299,165555,1942,0,5559155.959058269,0.016785582013332866,0.032718943752062385
14300,165555,1942,0,7782926.923924774,0.015283510346369,0.029148953394952472
14301,435752,675,0,16161638.168453725,0.021493171945084936,0.022919498031902064
14302,156155,4230,1,81.17926386953293,0.0,0.0
14303,156155,4230,1,980.4411290637901,0.0,0.0
14304,156155,4230,1,345.41741230541487,0.0,0.0
14305,156155,4230,1,66.59230377074798,0.0,0.0
14306,156155,4230,1,201.84044283597052,0.0,0.0
14307,155953,4515,0,15345.131344656045,0.0,0.0
14308,615352,353,1,416.712819018548,0.0,0.0
14309,615352,353,1,1521.3343707265117,0.0,0.0
14310,615352,353,1,60872.966664077336,0.07271420061588288,0.25726325809955597
14311,215363,1608,0,1177511.0611311414,0.07515094516177973,0.010655371914617717
14312,215363,1608,0,1343307.1086439881,0.07315707156684861,0.008918748028687577
14313,525362,2351,0,1215.5561754068822,0.0,0.0
14314,525362,2351,0,468022.07852218463,0.05018848520186212,0.012929586662600438
14315,235656,1129,0,18330.43991772821,0.020557790994644165,0.009905984625220299
14316,235656,1129,0,5388471.631080819,0.021930440453191598,0.011027665850492691
14317,235656,1129,0,27175255.142106134,0.021684869038348167,0.011990259265021622
14318,225255,1363,0,967056.4801296422,0.03839138756045187,0.014598193362054198
14319,415952,1059,0,5870987.027311599,0.021240777342418152,0.027677588562128284
14320,415952,1059,0,14928101.725776331,0.01980417971215058,0.019055774639654806
14321,415857,907,0,3733358.240291227,0.016322051344724028,0.023368383625437365
14322,515853,566,0,7815863.123899307,0.01039386748773407,0.005164540727354362
14323,515853,566,0,9179076.531414205,0.008174184660130344,0.0
14324,335751,3075,1,239.38173767873943,0.0,0.0
14325,335751,3075,1,1815.1036387503623,0.0,0.0
14326,335751,3075,1,596156.7133507697,0.03331714874652565,0.08043902171928374
14327,335751,3075,1,4497.165484788189,0.0,0.0
14328,335751,3075,1,14159.663859770548,0.032058652490377426,0.08612588793039322
14329,435752,656,1,186.03439449928533,0.0,0.0
14330,435752,656,1,4020425.3482781514,0.016208217306562085,0.04412995957136901
14331,436257,1026,1,1080334.4228224282,0.013510825495435813,0.04296918780864956
14332,325857,3394,1,403064.2198189853,0.1825926171881812,0.05850450939365796
14333,335755,3280,0,84.35436917938279,0.0,0.0
14334,335755,3280,0,621890.3905036572,0.040825779061941875,0.0042264849586885365
14335,336057,3275,0,7287965.69703152,0.042421261096483066,0.033262539987129115
14336,336057,3275,0,10553384.526117215,0.042046215205284,0.027020771396840275
14337,635357,313,0,1563146.0155219592,0.04364900895400552,0.04508352284597245
14338,346058,3073,0,7983407.94207089,0.03587255244104746,0.028219519636431333
14339,346058,3073,0,19947.763844715962,0.0,0.0
14340,236057,1460,1,660824.3413763999,0.028089001834873232,0.07490388316012198
14341,525452,2502,0,1154.3828956870302,0.0,0.0
14342,525452,2502,0,130453.49099209277,0.032346174120903015,0.22251725332303482
14343,535159,2422,0,70707.56187653563,0.010889878962188959,0.058528917375952005
14344,535159,2422,0,1304338.2784812816,0.013625204276580077,0.05447786702559544
14345,535265,2293,1,434308.19992320065,0.04993407800793648,0.19104963468342293
14346,535652,2413,1,180109.59407397473,0.0010494537185877562,0.0
14347,535652,2413,1,159853790.6999973,0.0002875215723179281,0.0
14348,155652,4393,0,317.69318722999776,0.0,0.0
14349,436254,999,0,20576148.86573959,0.01755281473291576,0.018018706569939043
14350,436254,999,0,189.7891628233574,0.0,0.0
14351,235361,1512,0,381165.67269372835,0.014077498004413568,0.025129930331156805
14352,115953,3887,1,12468.437399412673,0.9207877516746521,0.1226782500743866
14353,115953,3887,1,1035341.8338250744,0.9213411211967468,0.14097778042251208
14354,125656,3832,1,4091.4764786330056,0.0,0.0
14355,436253,1023,0,10924437.093664847,0.01586573454615422,0.025343435752443716
14356,436253,1023,0,4084139.02176721,0.014222426529909673,0.026412741109472528
14357,115855,3766,1,36.13418622747915,0.0,0.0
14358,115855,3766,1,859.3470401082488,0.8529326319694519,0.7548020482063293
14359,425251,444,0,202263.85573280402,0.02954706790692666,0.0
14360,215152,1620,1,9319.476928004498,0.06728004664182663,0.24570539593696594
14361,215152,1620,1,929.2321081985631,0.0,0.0
14362,215152,1620,1,722.4502613552759,0.0,0.0
14363,215152,1620,1,40657.67593907725,0.06739505380392075,0.24582388997077942
14364,215152,1620,1,69629.95690250356,0.06695144410644259,0.2463391125202179
14365,215152,1620,1,353118.4405235776,0.06541115169723828,0.24049474547306696
14366,136157,3617,0,1504193.1672975146,0.4585202036301295,0.1127342540025711
14367,165553,1944,0,658279.1320701573,0.027003770365434533,0.020293564754812157
14368,225756,1131,0,10067015.85980281,0.010536282994794567,0.03035810409325977
14369,525155,2392,1,122.62271575368909,0.0,0.0
14370,525155,2392,1,645.8522320122302,0.0,0.0
14371,525155,2392,1,91384.99742784385,0.09584052115678787,0.1349034739865197
14372,525155,2392,1,1974.265174754044,0.0,0.0
14373,416055,2988,0,459305.3182860819,0.009782122013469537,0.03279215937687291
14374,416055,2988,0,18127.67458888756,0.01035077590495348,0.02956086117774248
14375,436257,1027,0,7565.920469595041,0.014088555239140987,0.009586699306964874
14376,155451,4369,0,1881393.0043338987,0.05301774237404533,0.03248316768736125
14377,155451,4369,0,2223010.7577792522,0.052763442483705444,0.03502481717717003
14378,117152,3892,1,25.409101435877034,0.0,0.0
14379,117152,3892,1,46.48655918781897,0.0,0.0
14380,117152,3892,1,386.06208232612505,0.0,0.0
14381,117152,3892,1,1368.7662683877963,0.0,0.0
14382,117152,3892,1,3291.2328504254756,0.0,0.0
14383,117152,3892,1,53024.45346842098,0.48131107290585834,0.23173311352729797
14384,115957,3769,1,470.5584531305483,0.0,0.0
14385,145154,3729,1,576.747093710951,0.0,0.0
14386,325455,3098,1,636579.7097641942,0.05378276079652771,0.023462057083604798
